Mofu,10.5,14,11,mif,1,1,0,1,0,0,992,1,0,0,1,0,0,0,1,1,0,0, , ,0, , , , , ,0,0,0,0,0,0,0,0,0,0,x,x,x,x,31,8,3,0,0,0,24,7,31,17,4,5,4,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,16,0.875,8,0.2478866797,2.1731357676,1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,7,2,1,1,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Chadic, , , , ,0,Africa,Africa,West Africa,Cameroon,0,0,514,34,"60,000","60,000",Africa_SubSaharan,0,1,0,0,0,0
Musgu,11,15,12,mug,2,1,0,0,0,1,1150,1,0,0,1,0,0,0,1,1,0,0, ,0,0, , , , , ,0,0,0,0,0, , , , , ,0,0,x,x,23,7,4,0,0,0,15,8,23,8,4,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0.6666666667,7,-0.5471767231,0.4903390414,1,4,4,1,0,0,0,0,0,2,0,0,1,0,0,1,7,2,1,1,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Chadic, , , , ,0,Africa,Africa,West Africa,Cameroon,0,0,312,35,"61,500","61,500",Africa_SubSaharan,0,1,0,0,0,0
Tera,11,11.83,13,ttr,1,1,0,1,0,0,1824,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,6,3,0,0,0,31,7,38,19,5,6,4,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.8,9,0.501873695,2.1731357676,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,12,2,1,1,0,0,1,0,0,0,1,0,1,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Chadic, , , , ,0,Africa,Africa,West Africa,Nigeria,0,0,454,31.83,"101,000","101,000",Africa_SubSaharan,0,1,0,0,0,0
Awngi,10.83,36.67,14,awn,2,2,0,0,0,0,675,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0, ,0,0,0,0,0,0,1,0,0,0,0,0,1,1,27,5,4,0,0,0,19,8,27,16,6,8,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,2,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.6666666667,9,2.6098644462,1.6069307107,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Cushitic, , , , ,0,Africa,Africa,Ethiopia,Ethiopia,0,0,2058,56.67,"500,000","500,000",Africa_SubSaharan, , , , , , 
Bilin,15.9,38.3,15,byn, , , , , , ,168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24,7,0,0,0,0,16,8,24,16,6,7,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7333333333,9,2.2893468181,1.2041955882,1,4,4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Cushitic, , , , ,0,Africa,Africa,Ethiopia,Eritrea,0,0,1532,58.3,"91,000","91,000",MiddleOldWorld,1,0,0,0,0,0
Kemant,12.9,37,16,ahg,1,1,0,1,0,0,174,1,0,0,1,0,0,0,1,1,0,0, ,0, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,x,x,29,6,0,0,0,0,21,8,29,12,4,5,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,12,0.8333333333,7,-0.1478119969,1.2041955882,1,4,4,1,0,0,0,1,0,1,0,0,1,0,0,1,9,2,1,1,0,0,1,0,0,0,0,0,1,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Cushitic, , , , ,0,Africa,Africa,Ethiopia,Ethiopia,0,0,2520,57,"1,650","1,650",MiddleOldWorld,1,0,0,0,0,0
Kera,9.83,15.08,17,ker,1,1,0,1,0,0,144,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,6,0,0,0,0,16,8,24,11,3,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,12,0.8333333333,6,-0.5629362981,0.4903390414,1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Chadic, , , , ,0,Africa,Africa,West Africa,Chad,0,0,327,35.08,"44,500","44,500",Africa_SubSaharan,0,1,0,0,0,0
Lele,9.08,15.58,18,lln,2,2,0,0,0,0,920,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,23,5,3,0,0,0,15,8,23,13,4,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0.8125,8,-0.2444838249,1.4722294472,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Chadic, , , , ,0,Africa,Africa,West Africa,Chad,0,0,456,35.58,"26,000","26,000",Africa_SubSaharan,0,1,0,0,0,0
Oromo,9,37,19,hae,1,1,0,1,0,0,750,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,25,5,2,0,0,0,18,7,25,14,4,5,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0.65,8,-0.0030849049,1.7532229556,1,3,3,1,0,0,0,0,0,1,0,1,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Cushitic, , , , ,0,Africa,Africa,Ethiopia,Ethiopia,0,0,1394,57,"4,530,000","4,530,000",Africa_SubSaharan,1,0,0,0,0,0
Rendille,2,37.5,20,rel,1,1,0,1,0,0,560,1,0,0,1,0,0,0,1,1,0,0, ,0, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,3,0,0,0,7,7,14,7,4,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.7,6,0.3245656219,-0.786402843,1,3,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Cushitic, , , , ,0,Africa,Africa,Southern Africa,Kenya,0,0,554,57.5,"34,700","34,700",Africa_SubSaharan, , , , , , 
